"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39332","Filter staff table","","Mon Dec 01 13:01:45 WAT 2025","failed","Mon Dec 01 13:02:24 WAT 2025","","template spec","template spec","Filter staff table"
"","39421","Get a staff","","Mon Dec 01 13:02:25 WAT 2025","failed","Mon Dec 01 13:03:05 WAT 2025","","Get a staff - Filter by search","Get a staff - Filter by search","Get a staff"
"","8607","Table ","","Mon Dec 01 13:05:08 WAT 2025","failed","Mon Dec 01 13:05:17 WAT 2025","","template spec","template spec","Table "
"","39339","Change staff role","","Mon Dec 01 13:00:24 WAT 2025","failed","Mon Dec 01 13:01:04 WAT 2025","","Change staff role","Change staff role","Change staff role"
"","2159","Admin log in - Invalid credentials (No @)","","Mon Dec 01 12:57:03 WAT 2025","passed","Mon Dec 01 12:57:06 WAT 2025","","Admin Login - Input validations","Admin Login - Input validations","Admin log in - Invalid credentials (No @)"
"","39470","Input validations","","Mon Dec 01 13:03:06 WAT 2025","failed","Mon Dec 01 13:03:45 WAT 2025","","Invite staff","Invite staff","Input validations"
"","39595","Mid point between table pages","","Mon Dec 01 13:03:46 WAT 2025","failed","Mon Dec 01 13:04:26 WAT 2025","","template spec","template spec","Mid point between table pages"
"","8373","Get particular a customer - Account Information UI Check","","Mon Dec 01 13:05:17 WAT 2025","failed","Mon Dec 01 13:05:26 WAT 2025","","template spec","template spec","Get particular a customer - Account Information UI Check"
"","39484","Staffs page - UI check","","Mon Dec 01 12:59:44 WAT 2025","failed","Mon Dec 01 13:00:23 WAT 2025","","Staffs UI check","Staffs UI check","Staffs page - UI check"
"","8447","Total vs summation interest checks - Individual plans","","Mon Dec 01 12:59:16 WAT 2025","failed","Mon Dec 01 12:59:24 WAT 2025","","Savings Interest Summation Validation","Savings Interest Summation Validation","Total vs summation interest checks - Individual plans"
"","39733","Deactivate staff | Reactivate Staff","","Mon Dec 01 13:01:04 WAT 2025","failed","Mon Dec 01 13:01:44 WAT 2025","","Deactivate staff | Reactivate staff","Deactivate staff | Reactivate staff","Deactivate staff | Reactivate Staff"
"","6471","Admin logout/Re-login flow","","Mon Dec 01 12:57:06 WAT 2025","failed","Mon Dec 01 12:57:13 WAT 2025","","Log out flow","Log out flow","Admin logout/Re-login flow"
"","8548","Individual savings plan management check","","Mon Dec 01 12:58:57 WAT 2025","failed","Mon Dec 01 12:59:05 WAT 2025","","Customer savings plan management","Customer savings plan management","Individual savings plan management check"
"","4915","Forget password flow - Email invalidation","","Mon Dec 01 12:56:42 WAT 2025","passed","Mon Dec 01 12:56:47 WAT 2025","","Forget password flow","Forget password flow","Forget password flow - Email invalidation"
"","8478","Sorting Functionality","","Mon Dec 01 12:58:19 WAT 2025","failed","Mon Dec 01 12:58:28 WAT 2025","","Sorting & Filtering - Functionality check","Sorting & Filtering - Functionality check","Sorting Functionality"
"","8441","Filtering","","Mon Dec 01 12:59:25 WAT 2025","failed","Mon Dec 01 12:59:34 WAT 2025","","Filtering savings table","Filtering savings table","Filtering"
"","5409","Admin log in - Valid credentials","","Mon Dec 01 12:56:57 WAT 2025","failed","Mon Dec 01 12:57:03 WAT 2025","","Login flow","Login flow","Admin log in - Valid credentials"
"","8341","Total users","","Mon Dec 01 12:58:38 WAT 2025","failed","Mon Dec 01 12:58:46 WAT 2025","","List of Users","List of Users","Total users"
"","8524","Filter by search - Phone number","","Mon Dec 01 12:58:29 WAT 2025","failed","Mon Dec 01 12:58:37 WAT 2025","","Get a user","Get a user","Filter by search - Phone number"
"","1600","Forget password flow - Admin user does not exist","","Mon Dec 01 12:56:47 WAT 2025","passed","Mon Dec 01 12:56:48 WAT 2025","","Forget password flow","Forget password flow","Forget password flow - Admin user does not exist"
"","39780","Checks invitation statuses across ALL pages","","Mon Dec 01 13:04:27 WAT 2025","failed","Mon Dec 01 13:05:07 WAT 2025","","Roles & permissions","Roles & permissions","Checks invitation statuses across ALL pages"
"","8586","Filter by search","","Mon Dec 01 12:58:47 WAT 2025","failed","Mon Dec 01 12:58:56 WAT 2025","","Get a savings plan","Get a savings plan","Filter by search"
"","8545","Individual plan check - Goals","","Mon Dec 01 12:59:34 WAT 2025","failed","Mon Dec 01 12:59:43 WAT 2025","","Savings plans table navigation","Savings plans table navigation","Individual plan check - Goals"
"","44472","Should have all expected clickable components visible","","Mon Dec 01 12:57:34 WAT 2025","failed","Mon Dec 01 12:58:18 WAT 2025","","Customers page - UI","Customers page - UI","Should have all expected clickable components visible"
"","9349","Resend OTP","","Mon Dec 01 12:57:24 WAT 2025","failed","Mon Dec 01 12:57:33 WAT 2025","","Resend OTP flow","Resend OTP flow","Resend OTP"
"","9006","Get particular a customer - Savings UI Check","","Mon Dec 01 12:59:06 WAT 2025","failed","Mon Dec 01 12:59:15 WAT 2025","","Customer Management","Customer Management","Get particular a customer - Savings UI Check"
"","8300","Get particular a customer - Fraud UI Check","","Mon Dec 01 13:05:45 WAT 2025","failed","Mon Dec 01 13:05:54 WAT 2025","","template spec","template spec","Get particular a customer - Fraud UI Check"
"","8311","Get particular a customer - Details UI Check","","Mon Dec 01 13:05:36 WAT 2025","failed","Mon Dec 01 13:05:45 WAT 2025","","Customer Details","Customer Details","Get particular a customer - Details UI Check"
"","6314","Password invalidity attempts","","Mon Dec 01 12:57:14 WAT 2025","failed","Mon Dec 01 12:57:20 WAT 2025","","Password invalidity attempts","Password invalidity attempts","Password invalidity attempts"
"","8790","Customer Actions - Flag customer","","Mon Dec 01 13:05:27 WAT 2025","failed","Mon Dec 01 13:05:35 WAT 2025","","Customer Actions","Customer Actions","Customer Actions - Flag customer"
